time,ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw,raw
1785792016366,C4CC0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,C4CC0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792016366,28CD0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,28CD0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,8CCD0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,8CCD0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,F0CD0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,F0CD0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,54CE0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,54CE0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,B8CE0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,B8CE0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,1DCF0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,1DCF0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,80CF0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,80CF0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,E5CF0D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,E5CF0D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,49D00D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,49D00D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,ADD00D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,ADD00D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792017366,11D10D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,11D10D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792018366,75D10D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,75D10D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
1785792018366,D9D10D0000000000,54CBAA01,1183A033,592D0000,12000000,4C000000,00730000,00000000,00000000,00000000,84FDFFFF,D9D10D000000000054CBAA011183A033592D0000120000004C0000000073000000000000000000000000000084FDFFFF
