date,speed_kmh,gear
2026-08-14 11:44:59,0.0,
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:44:59,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:00,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:01,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:02,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:03,0.0,0
2026-08-14 11:45:04,0.0,0
2026-08-14 11:45:04,0.0,0
2026-08-14 11:45:04,0.0,0
