date,ref_id,pos_x,pos_y,pos_z,yaw
2026-08-03 14:53:52,11,109181,-698,-125089,-130
2026-08-03 14:53:52,11,109181,-698,-125089,-130
2026-08-03 14:53:52,11,109181,-698,-125089,-130
2026-08-03 14:53:52,11,109181,-698,-125089,-130
2026-08-03 14:53:52,11,109181,-698,-125089,-130
2026-08-03 14:53:52,11,109181,-698,-125089,-129
2026-08-03 14:53:52,11,109181,-698,-125089,-129
2026-08-03 14:53:52,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-129
2026-08-03 14:53:53,11,109181,-698,-125089,-128
2026-08-03 14:53:53,11,109181,-698,-125089,-128
2026-08-03 14:53:53,11,109181,-698,-125089,-128
2026-08-03 14:53:53,11,109181,-698,-125089,-128
2026-08-03 14:53:54,11,109181,-698,-125089,-128
2026-08-03 14:53:54,11,109181,-698,-125089,-128
2026-08-03 14:53:54,11,109181,-698,-125089,-127
2026-08-03 14:53:54,11,109181,-698,-125089,-127
2026-08-03 14:53:54,11,109181,-698,-125089,-127
2026-08-03 14:53:54,11,109181,-698,-125089,-127
2026-08-03 14:53:54,11,109181,-698,-125089,-126
2026-08-03 14:53:54,11,109181,-698,-125089,-126
2026-08-03 14:53:54,11,109181,-698,-125089,-126
2026-08-03 14:53:54,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-126
2026-08-03 14:53:55,11,109181,-698,-125089,-125
2026-08-03 14:53:55,11,109181,-698,-125089,-125
2026-08-03 14:53:55,11,109181,-698,-125089,-125
2026-08-03 14:53:55,11,109181,-698,-125089,-125
2026-08-03 14:53:55,11,109181,-698,-125089,-125
2026-08-03 14:53:56,11,109181,-698,-125089,-125
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-124
2026-08-03 14:53:56,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-123
2026-08-03 14:53:57,11,109181,-698,-125089,-122
2026-08-03 14:53:57,11,109181,-698,-125089,-122
2026-08-03 14:53:57,11,109181,-698,-125089,-122
2026-08-03 14:53:58,11,109181,-698,-125089,-122
2026-08-03 14:53:58,11,109181,-698,-125089,-122
2026-08-03 14:53:58,11,109181,-698,-125089,-122
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:58,11,109181,-698,-125089,-121
2026-08-03 14:53:59,11,109181,-698,-125089,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-120
2026-08-03 14:53:59,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-119
2026-08-03 14:54:00,11,0,0,0,-118
2026-08-03 14:54:00,11,0,0,0,-118
2026-08-03 14:54:00,11,0,0,0,-118
2026-08-03 14:54:01,11,0,0,0,-118
2026-08-03 14:54:01,11,0,0,0,-118
2026-08-03 14:54:01,11,0,0,0,-118
2026-08-03 14:54:01,11,0,0,0,-118
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:01,11,0,0,0,-117
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-116
2026-08-03 14:54:02,11,0,0,0,-115
2026-08-03 14:54:02,11,0,0,0,-115
2026-08-03 14:54:03,11,0,0,0,-115
2026-08-03 14:54:03,11,0,0,0,-115
